game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,primary_player,primary_player_score,primary_player_illegal_moves,primary_player_legal_moves,primary_player_timeout,primary_player_resignation,primary_player_failed_to_find_legal_move,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves
1766455049-9278,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 c5 2. Nf3 h6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Be3 g6 7. Be2 Bg7 8. O-O O-O 9. Qd2 Kh7 10. f4 d6 11. Rad1 Ng4 12. Bxg4 Bxg4 13. Nxc6 bxc6 14. Rde1 Rb8 15. b3 Bc8 16. Bd4 e5 17. fxe5 dxe5 18. Be3 Qxd2 19. Bxd2 f5 20. exf5 Bxf5 21. Ne4 c5 22. Bc3 Rbd8 23. Nxc5 Rc8 24. b4 Rfe8 25. Re3 a5 26. a3 h5 27. Rfe1 Kg8 28. Bxe5 Bh6 29. R3e2 Bf8 30. Nd3 Bxd3 31. cxd3 Red8 32. d4 axb4 33. axb4 Bxb4 34. Rb1 Bd6 35. Bxd6 Rxd6 36. Rd2 Rf8 37. Rbd1 Rf5 38. h3 Rdf6 39. d5 Rd6 40. Kh2 g5 41. Kg3 Kg7 42. h4 Kf6 43. hxg5+ Kg6 44. Kh4 Re5 45. g4 hxg4 46. Kxg4 Rd8 47. Kf4 Rxg5 48. d6 Rf8+ 49. Ke4 Re8+ 50. Kd4 Kf6 51. Kc4 Rc8+ 52. Kb4 Rb8+ 53. Ka4 Rd8 54. d7 Rc5 55. Rd6+ Ke7 56. R6d5 Ra8+ 57. Kb4 Rxd5 58. Rxd5 Rh8 59. Kc5 Kd8 60. Kc6 Rf8 61. Re5 Rf6+ 62. Kd5 Ra6 63. Re8+ Kxd7 64. Re5 Ra5+ 65. Ke4 Ra1 66. Rd5+ Ke6 67. Re5+ Kd7 68. Rd5+ Ke6 69. Re5+ Kd6 70. Rd5+ Kc6 71. Re5 Re1+ 72. Kf5 Rd1 73. Re6+ Kd7 74. Re5 Rh1 75. Rd5+ Kc6 76. Re5 Kd6 77. Re6+ Kc5 78. Re5+ Kc6 79. Re6+ Kd5 80. Re5+ Kc6 81. Re6+ Kc5 82. Re5+ Kd6 83. Re6+ Kc5 84. Re5+ Kd6 85. Re6+ Kd7 86. Re5 Ra1 87. Rd5+ Ke7 88. Re5+ Kd8 89. Rd5+ Kc8 90. Rc5+ Kb8",,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,-10000000000.0,-10000000000.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),-10000000000.0,0,90,False,False,False,0,0,90,90,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,91,1150.8425109386444,90,0
1766455264-6385,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nf3 d6 6. Bg5 Be7 7. c4 O-O 8. Be3 Nb4 9. Qb3 c5 10. Bd3 Bg4 11. Nfd2 Qa5 12. a3 Nxd3+ 13. Qxd3 Rad8 14. f3 Be6 15. Nc3 a6 16. Bg5 h6 17. Bh4 g5 18. Bf2 Nh5 19. Qc2 Nf4 20. h4 Nxg2+ 21. Ke2 Nf4+ 22. Kf1 Bh3+ 23. Rxh3 Nxh3 24. Nd5 Rde8 25. Be3 f6 26. e5 dxe5 27. b4 cxb4 28. Bb6 Qc5 29. Qg6+ Kh8 30. Qxh6+ Kg8 31. Bxc5 Bxc5 32. Qg6+ Kh8 33. Ne4 Rg8 34. Qh6#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,34,False,False,False,0,0,34,34,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),34,215.33345365524292,34,0,-196.29982628212065
1766455976-8132,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Nf3 c6 5. Bc4 e6 6. O-O d5 7. exd5 exd5 8. Re1+ Be7 9. Bd3 Nf8 10. Bg5 Ng6 11. Bxf6 gxf6 12. Qd2 Be6 13. Qh6 Kd7 14. Na4 Bg4 15. Nd2 Rg8 16. Nc5+ Kc7 17. Qxh7 Qf8 18. Bxg6 Rxg6 19. Rxe7+ Qxe7 20. Qh4 Re8 21. Qg3+ Qd6 22. Qxd6+ Kxd6 23. Nxb7+ Kd7 24. Nc5+ Kd8 25. f3 Bh3 26. g3 Re2 27. Rd1 Rg2+ 28. Kh1 Rg8 29. Ndb3 Re8 30. Nd3 Ree2 31. Nf4 Rxh2+ 32. Kg1 Rxc2 33. Nxh3 Rcg2+ 34. Kf1 Rxb2 35. Nc5 Rxh3 36. Kg1 Kc8 37. Nd3 Rc2 38. Nf2 Rxg3+ 39. Kf1 Rb2 40. Rc1 Kb7 41. Nd3 Rxf3+ 42. Ke1 Rxd3 43. Rd1 Rh3 44. Rd2 Rh1+ 45. Ke2 Rxd2+ 46. Kxd2 Rh7 47. Kc3 Rh1 48. Kb4 Kb6 49. a4 Kb7 50. a5 Rc1 51. Ka4 f5 52. Kb4 Ka6 53. Ka4 f4 54. Kb4 Rc4+ 55. Kb3 f5 56. Kb2 f3 57. Kb3 f2 58. Kb2 f4 59. Kb3 f1=Q 60. Kb2 Kb5 61. Kb3 Qc1 62. Ka2 Ka6 63. Kb3 Kxa5 64. Ka2 Ka6 65. Kb3 Qc2+ 66. Ka3 Ra4#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,66,False,False,False,0,0,66,66,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,67,711.5874996185303,66,0,-196.29982628212065
1766457239-9902,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. Nf3 d5 2. c3 Nf6 3. Qa4+ Bd7 4. Qb3 b6 5. c4 dxc4 6. Qc2 Nc6 7. g3 e5 8. Bg2 Bd6 9. O-O O-O 10. Qxc4 Na5 11. Qc2 Rc8 12. b3 c5 13. Nc3 Nc6 14. e3 Nb4 15. Qd1 Bg4 16. d3 Bxf3 17. Bxf3 Re8 18. a3 Nc6 19. Bb2 Ne7 20. Qe2 Ng6 21. Bb7 Rc7 22. Ba6 Rce7 23. Rad1 e4 24. Bb5 Rf8 25. dxe4 Nxe4 26. Qc2 Nxc3 27. Qxc3 f6 28. Qd3 Rd7 29. Bxd7 Qxd7 30. Qd5+ Kh8 31. Qxd6 Qxd6 32. Rxd6 Ne5 33. f3 Nf7 34. Rd2 Ng5 35. Rdd1 Nh3+ 36. Kg2 Ng5 37. Kf2 Ne6 38. Ke1 Nc7 39. b4 Nb5 40. a4 Nc7 41. bxc5 bxc5 42. Rd7 Na6 43. Bc3 Nb4 44. e4 Nc2+ 45. Kd2 Na3 46. Ke2 Nc4 47. Rfd1 Ne5 48. Bxe5 fxe5 49. Rb1 h6 50. Rxa7 Kh7 51. Rbb7 Rg8 52. Kd3 Kg6 53. Kc2 Kh5 54. Rxg7 Rxg7 55. Rxg7 c4 56. Rc7 c3 57. Rd7 Kg5 58. Rc7 h5 59. Kb1 h4 60. gxh4+ Kxh4 61. Kc2 Kh3 62. a5 Kxh2 63. Rxc3 Kg3 64. a6 Kf4 65. Kd2 Kg5 66. Kc2 Kf4 67. a7 Kg3 68. Kd3 Kxf3 69. Rc7 Kf4 70. Rc6 Kf3 71. Rc7 Kf4 72. Ke2 Kxe4 73. a8=Q+ Kf5 74. Re7 Kf4 75. Rf7+ Kg5 76. Qf8 Kg6 77. Rb7 Kg5 78. Re7 Kg6 79. Ra7 Kg5 80. Re7 Kg6 81. Rb7 Kg5 82. Rc7 Kg6 83. Re7",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,5,82,False,False,True,0,5,83,82,False,False,False,True,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),83,1263.4706184864044,83,5,-196.29982628212065
1766457480-5843,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 c6 2. d4 h6 3. Nc3 d6 4. Be3 e5 5. Nf3 Nd7 6. Qd2 Ngf6 7. O-O-O Be7 8. h3 a6 9. g4 Qc7 10. Bg2 Rb8 11. g5 hxg5 12. Nxg5 Nh5 13. h4 Nb6 14. Bf3 Nc4 15. Qe2 Nxe3 16. Qxe3 Nf4 17. dxe5 Ne6 18. exd6 Bxd6 19. Nxe6 Bxe6 20. Kb1 Be5 21. Ne2 Rd8 22. Rxd8+ Kxd8 23. Rd1+ Kc8 24. Nd4 Rxh4 25. Nxe6 fxe6 26. Qg5 Rh2 27. Bg4 Kb8 28. Bxe6 Bf6 29. Qg3 Qe5 30. Qxe5+ Bxe5 31. Rf1 Rh4 32. f3 Ka7 33. Bg4 Rh2 34. f4 Bxf4 35. Rxf4 Rh1+ 36. Bd1 Rxd1#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,36,False,False,False,0,0,36,36,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,37,240.66664600372314,36,0,-196.29982628212065
1766457559-8218,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e3 e5 2. e4 Nf6 3. d4 exd4 4. Qxd4 Nc6 5. Qd3 Bc5 6. Nc3 O-O 7. Be2 d6 8. Nf3 Bg4 9. h3 Bh5 10. a3 Re8 11. b4 Bb6 12. Bg5 h6 13. g4 Bg6 14. Bxf6 Qxf6 15. O-O",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,5,14,False,False,True,0,5,15,14,False,False,False,True,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),15,79.72686123847961,15,5,-196.29982628212065
1766457789-2938,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 c5 2. Nf3 h6 3. d4 cxd4 4. Nxd4 d6 5. Nc3 e6 6. Be3 a6 7. Be2 Nd7 8. O-O Qc7 9. f4 Ndf6 10. Bf3 Ne7 11. Qe2 Bd7 12. Rad1 e5 13. fxe5 dxe5 14. Nf5 Nxf5 15. exf5 Bc6 16. Bxc6+ bxc6 17. Qc4 Be7 18. Ne4 O-O 19. Nxf6+ Bxf6 20. Qg4 Kh8 21. Rd3 a5 22. Rfd1 Rad8 23. Bc5 Rg8 24. Rd6 Be7 25. Rxd8 Bxc5+ 26. Kh1 Rxd8 27. Rxd8+ Qxd8 28. h3 a4 29. Qxa4 Qd1+ 30. Kh2 Bf2 31. Qa8+ Kh7 32. Qxc6 Qg1#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,32,False,False,False,0,0,32,32,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,33,229.64330005645752,32,0,-196.29982628212065
1766458015-4727,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. d4 d5 2. Nf3 Nf6 3. Bf4 e6 4. Nbd2 Bd6 5. e3 Bxf4 6. exf4 O-O 7. Bd3 c5 8. c3 cxd4 9. O-O Nc6 10. cxd4 Qb6 11. Nb3 a5 12. Re1 a4 13. Nc5 Nxd4 14. Rc1 Nxf3+ 15. Qxf3 Qxb2 16. Bb1 b6 17. Rc2 Qb4 18. Nd3 Qd6 19. Ne5 Bb7 20. Rb2 Rac8 21. Rd1 Rc7 22. h3 Rfc8 23. Qe3 Qc5 24. Rd4 Qc1+ 25. Qxc1 Rxc1+ 26. Kh2 R8c3 27. f5 exf5 28. Nd3 Rc4 29. Rxc4 dxc4 30. Nxc1 c3 31. Rxb6 Be4 32. Rb8+ Ne8 33. Rxe8#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,33,False,False,False,0,0,33,33,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),33,226.23996448516846,33,0,-196.29982628212065
1766458558-5898,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 e5 2. Nf3 Nf6 3. Nc3 Bd6 4. Bc4 O-O 5. d3 Bb4 6. Bd2 Qe7 7. a3 Ba5 8. b4 Bb6 9. Nd5 Nxd5 10. Bxd5 a5 11. bxa5 Bxa5 12. Bxa5 Rxa5 13. Qd2 Rxa3 14. Rxa3 Qxa3 15. O-O Re8 16. Ng5 Rf8 17. Qe3 Nc6 18. Qh3 h6 19. Nf3 Ne7 20. Bb3 d6 21. Qh4 Ng6 22. Qg3 Nf4 23. Re1 Be6 24. Bxe6 Nxe6 25. Nh4 Qc3 26. Rc1 Qd2 27. Rf1 Nd4 28. Nf5 Ne2+ 29. Kh1 Nxg3+ 30. Nxg3 Kh8 31. Nf5 Ra8 32. Ne3 Qb4 33. h3 b5 34. Nd5 Qc5 35. Ne3 b4 36. Rb1 Qa7 37. Rxb4 Qa5 38. Rb1 Qa3 39. Rb3 Qa7 40. Nd5 h5 41. Rb1 Qa2 42. Rb7 Qa5 43. Nxc7 Rc8 44. Nd5 Qe1+ 45. Kh2 Rf8 46. Rd7 Qd2 47. Rxd6 Qxf2 48. Ne7 Ra8 49. Nf5 Qf4+ 50. Ng3 Kh7 51. Rd7 h4 52. Rxf7 hxg3+ 53. Kg1 Qe3+ 54. Kf1 Ra1#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,54,False,False,False,0,0,54,54,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,55,542.4271981716156,54,0,-196.29982628212065
1766458999-8515,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. d4 d5 2. e3 Nf6 3. Be2 e6 4. b3 Be7 5. c4 O-O 6. Nf3 c6 7. Qc2 Nbd7 8. Bb2 b6 9. Nc3 Bb7 10. O-O Rc8 11. e4 dxe4 12. Nd2 c5 13. Ncxe4 cxd4 14. Bxd4 Nxe4 15. Nxe4 Nf6 16. Nxf6+ Bxf6 17. Bb2 Bxb2 18. Qxb2 Qg5 19. f3 Rfd8 20. Rad1 Qe3+ 21. Kh1 h6 22. Rfe1 Qf2 23. Rg1 Rxd1 24. Rxd1 Bxf3 25. gxf3 Qxe2 26. Qxe2 Rf8 27. a3 g6 28. h4 Kg7 29. Qe5+ Kh7 30. Rd7 Kg8 31. Rd1 Kh7 32. Qc7 Kg8 33. Rd7 Kg7 34. Rd1 Kg8 35. Qe7 Kg7 36. Qd6 Kg8 37. Qe7 Kg7 38. Qxa7 Kg8 39. a4 Kg7 40. Qc7 Kg8 41. b4 Kg7 42. Qxb6 Kg8 43. a5 Kg7 44. c5 Kg8 45. c6 Kg7 46. c7 Kg8 47. Qe3 Kg7 48. Qc5 Kg8 49. Qe7 Kg7 50. Rd8 Rxd8 51. cxd8=Q h5 52. a6 Kh6 53. Qh8#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,53,False,False,False,0,0,53,53,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),53,441.7531056404114,53,0,-196.29982628212065
1766459146-6799,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 e5 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qa5 5. Bc4 Nc6 6. O-O Bf5 7. d3 Bb4 8. Bd2 Nge7 9. a3 Bxc3 10. Bxc3 Qb6 11. Nxe5 O-O 12. Nxc6 Ng6 13. Nd4 Bc8 14. Qf3 Be6 15. Nxe6 Qxe6 16. Bxe6 fxe6 17. Qxb7 Nf4 18. Qxc7 Rf7 19. Qe5 Raf8 20. g3 Rf6 21. gxf4 Rg6+ 22. Kh1 h5 23. Rg1 Rd8 24. Rxg6 Rd7 25. Rxg7+ Kh8 26. Rxd7+ Kg8 27. Qg7#",1-0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),1.0,0,27,False,False,False,0,0,27,27,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,27,146.2987415790558,27,0,1822.0029962242697
1766459247-2574,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. Nf3 d5 2. d4 Nf6 3. Bg5 e6 4. Nbd2 Be7 5. c3 O-O 6. e3 Nbd7 7. a4 c5 8. Bh4 b6 9. Bd3 Bb7 10. Ne5 Nxe5 11. dxe5 Nd7 12. Bg3 f5 13. Nf3 g5 14. h3 h5 15. Qe2 h4 16. Bh2 Kg7 17. Bc2 a6 18. g4 fxg4 19. Qd3 Rf5 20. hxg4 Rxf3 21. Qh7+ Kf8 22. Bg6 Bf6 23. Qf7#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,23,False,False,False,0,0,23,23,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),23,101.33161282539368,23,0,1803.6999999999998
1766459486-2852,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 Bg4 5. h3 Bd7 6. Ng5 Nh6 7. Qf3 Qf6 8. Qxf6 gxf6 9. Nf3 Ne7 10. Bxh6 Bxh6 11. Nc3 c6 12. O-O Rf8 13. Nh4 a5 14. a4 Be6 15. Bxe6 fxe6 16. Ne2 Rg8 17. Ng3 Ng6 18. Nxg6 hxg6 19. c3 b5 20. axb5 Kd7 21. bxc6+ Kxc6 22. b4 axb4 23. cxb4 Bg5 24. Ne2 Kb5 25. Rxa8 Rxa8 26. Rb1 f5 27. exf5 gxf5 28. Nc3+ Kc6 29. b5+ Kc7 30. b6+ Kb7 31. Nb5 Kxb6 32. Nxd6+ Kc6 33. Nf7 Be7 34. Nxe5+ Kc7 35. Rc1+ Kd6 36. Nf7+ Kd5 37. Rc7 Bd6 38. Rd7 Ra1#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,38,False,False,False,0,0,38,38,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,39,238.57799124717712,38,0,1787.1429259367098
1766459699-2270,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. Nf3 d5 2. d4 Nf6 3. g3 Bf5 4. c4 e6 5. Nc3 c6 6. Bg2 Be7 7. Nh4 Bg4 8. O-O O-O 9. Qb3 Qb6 10. f3 Bh5 11. g4 Bg6 12. Qxb6 axb6 13. cxd5 exd5 14. Nxg6 hxg6 15. Rd1 Nbd7 16. Bh3 Rfe8 17. g5 Nh5 18. Bxd7 Red8 19. Bh3 f6 20. Bf1 fxg5 21. e4 dxe4 22. Nxe4 Nf4 23. h4 gxh4 24. a3 g5 25. Bxf4 gxf4 26. Bc4+ Kh7 27. Kh2 Kh6 28. Rd2 g5 29. Bb3 Kg6 30. Rg1 Kf5 31. Rdg2 Rxd4 32. Rxg5+ Bxg5 33. Rxg5#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,33,False,False,False,0,0,33,33,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),33,213.3531506061554,33,0,1772.0275015809498
