game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,primary_player,primary_player_score,primary_player_illegal_moves,primary_player_legal_moves,primary_player_timeout,primary_player_resignation,primary_player_failed_to_find_legal_move,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves
1766460273-2421,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 c5 2. Nf3 d6 3. d4 Bd7 4. dxc5 Nf6 5. cxd6 Nxe4 6. dxe7 Qxe7 7. Be2 h6 8. O-O Nc6 9. Re1 O-O-O 10. Bd3 Be8 11. Rxe4 Qxe4 12. Nc3 Qg4 13. h3 Qd7 14. Bf4 Bc5 15. Ne5 Qe6 16. Nxc6 Bxc6 17. Qg4 Qxg4 18. hxg4 g6 19. Re1 h5 20. gxh5 gxh5 21. Bf5+ Bd7 22. Bxd7+ Kxd7 23. Rd1+ Ke6 24. Re1+ Kd7 25. Rd1+ Kc6 26. Re1 Rhe8 27. Rxe8 Rxe8 28. Kf1 Bb4 29. Bd2 h4 30. a3 Bxc3 31. Bxc3 Rc8 32. Bf6 Kd5 33. c3 Kc4 34. Bxh4 b5 35. Bf6 a5 36. Bd4 Rg8 37. g3 Kd3 38. Kg2 Ra8 39. Kf3 b4 40. axb4 axb4 41. Bf6 b3 42. Kf4 Ra4+ 43. Kf5 Kc4 44. g4 Ra6 45. g5 Ra2 46. g6 fxg6+ 47. Kxg6 Rxb2 48. f4 Rg2+ 49. Kf5 b2 50. Bd4 Rd2 51. Be5 b1=Q+ 52. Ke6 Ra2 53. f5 Ra6+ 54. Kf7 Qb7+ 55. Kg8 Ra8+ 56. Bb8 Qa7 57. f6 Rxb8#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,57,False,False,False,0,0,57,57,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,58,574.0771541595459,57,0,1758.122659077265
1766460409-8358,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e4 e5 2. d4 exd4 3. Ne2 Nc6 4. Bf4 Bc5 5. Nd2 Nf6 6. a3 O-O 7. b4 Bb6 8. Nc4 Nxe4 9. b5 Na5 10. Nxb6 axb6 11. f3 Nc3 12. Qd3 Nxe2 13. Bxe2 Re8 14. Rd1 Qe7 15. Kf2 Qxe2+ 16. Qxe2 Rxe2+ 17. Kxe2 Nc4 18. Bxc7 Nxa3 19. Ra1 Ra5 20. Rhc1 Rxb5 21. Rxa3 Rb2 22. Raa1 d5 23. g3 Bf5 24. Ra8+ Bc8 25. Rxc8#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,25,False,False,False,0,0,25,25,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),25,135.49461007118225,25,0,1745.2487857287047
1766460969-6853,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 e6 2. d4 d5 3. e5 Bd7 4. Nf3 h6 5. Bd3 Qc8 6. O-O Na6 7. c3 c5 8. Be3 c4 9. Bc2 Qc7 10. Nbd2 Ne7 11. b3 b5 12. bxc4 bxc4 13. Rb1 Nc6 14. Ba4 Be7 15. Bxc6 Bxc6 16. Qc2 Qd7 17. Rb2 Ba3 18. Rbb1 Ba4 19. Qc1 Bxc1 20. Rfxc1 Kf8 21. Nh4 Rb8 22. Rxb8+ Nxb8 23. Rb1 Qc8 24. Ndf3 Kg8 25. g3 Kh7 26. Ng2 Nd7 27. Nf4 Rd8 28. Nh5 Re8 29. Nh4 g6 30. Nf4 g5 31. Nh5 Bc2 32. Rc1 Be4 33. f3 Qd8 34. fxe4 Rf8 35. exd5 Qb6 36. dxe6 Qxe6 37. Rf1 gxh4 38. Nf4 Qc6 39. gxh4 Qb7 40. Kf2 Qa6 41. Rg1 Rg8 42. Rxg8 Kxg8 43. Nh5 Kh7 44. Nf6+ Nxf6 45. exf6 Qe6 46. Ke2 Qf5 47. Kd2 Qf1 48. Kc2 Qd3+ 49. Kb2 Qxe3 50. Ka3 h5 51. Kb4 Qd2 52. Kxc4 Qc2 53. Kd5 Kg6 54. Ke5 Qxc3 55. Kd6 Qxd4+ 56. Ke7 Qd5 57. Kf8 Qd8#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,57,False,False,False,0,0,57,57,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,58,560.136227607727,57,0,1733.2634963777273
1766461207-7740,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e3 e5 2. Be2 d5 3. d3 Nf6 4. c4 dxc4 5. d4 exd4 6. exd4 Bb4+ 7. Kf1 O-O 8. Nf3 Nc6 9. Bg5 Be7 10. h4 h6 11. a3 hxg5 12. g4 Nxg4 13. hxg5 Bxg5 14. Nc3 Bf6 15. Qb1 g6 16. Qe4 Bf5 17. Qf4 Nxd4 18. Bxc4 Nxf3 19. Nd5 Nfe5 20. Ne3 Nxe3+ 21. Ke2 N3xc4 22. Rh8+ Bxh8 23. Rd1 Qf6 24. Rd6 Qxd6 25. f3 Qd3+ 26. Ke1 Nxf3+ 27. Kf2 Bd4+ 28. Qxd4 Qxd4+ 29. Kxf3 Qe4+ 30. Kf2 Rad8 31. Kf1 Rd2 32. a4 Qe2+ 33. Kg1 Qg2#",0-1,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),1.0,0,33,False,False,False,0,0,33,33,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),34,238.09350848197937,33,0,1853.6754946433198
1766461468-5782,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 e6 2. d4 Ne7 3. Nc3 d5 4. e5 a6 5. f4 c5 6. Nf3 Nf5 7. Bd3 cxd4 8. Bxf5 dxc3 9. Bd3 Bc5 10. bxc3 Nc6 11. Qe2 Qa5 12. Bd2 Bd7 13. Ng5 h6 14. Qh5 g6 15. Bxg6 fxg6 16. Qxg6+ Kd8 17. Nf7+ Kc7 18. Nxh8 Rxh8 19. Qg7 Re8 20. Qxh6 Rc8 21. Qg5 Qa4 22. Qg3 Qxc2 23. Qf3 Na5 24. Qe2 Nc4 25. Rc1 Qxa2 26. Rd1 Qc2 27. h4 Nxd2 28. Qxd2 Qa4 29. h5 Qe4+ 30. Qe2 Qxf4 31. h6 Rf8 32. Rf1 Qh4+ 33. Kd2 Ba4 34. Rxf8 Bxf8 35. Rf1 Bxh6+ 36. Kd3 Qc4#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,36,False,False,False,0,0,36,36,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,37,260.86885356903076,36,0,1842.4640052032223
1766462677-4785,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6 4. d3 Bc5 5. Nf3 d6 6. O-O Bg4 7. Na4 Bb6 8. Nxb6 axb6 9. h3 Bh5 10. Bd2 Nd4 11. g4 Nxg4 12. Nxd4 exd4 13. hxg4 Qh4 14. Kg2 Bxg4 15. Rh1 Bxd1 16. Bb5+ c6 17. Rxh4 cxb5 18. Rc1 Be2 19. a3 O-O 20. f3 f5 21. e5 dxe5 22. Bb4 Rf6 23. Re1 Rg6+ 24. Kf2 Bxf3 25. Kxf3 Re8 26. Rxd4 e4+ 27. Ke3 Rg3+ 28. Kf2 Rf3+ 29. Ke2 Rh3 30. Kf1 Rh1+ 31. Kf2 Rh2+ 32. Kg3 Rxc2 33. Bc3 e3 34. Rd7 g5 35. Rg7+ Kf8 36. Rxg5 e2 37. Kf2 Re6 38. Rh5 Rg6 39. Kf3 Re6 40. Rxf5+ Ke7 41. Re5 Rxe5 42. Bxe5 Ke6 43. Bd4 Kd5 44. Bg7 Kc5 45. b4+ Kd5 46. Kf2 Ra2 47. Bh8 Rxa3 48. Kxe2 Ra2+ 49. Kf1 Ra3 50. Ke2 Ra2+ 51. Ke3 Ra3 52. Rf1 Ra2 53. Bc3 Ra3 54. Rc1 Ra2 55. Rh1 Ra3 56. Rh5+ Kc6 57. Be1 Ra1 58. Kd2 Ra2+ 59. Kc3 Ra3+ 60. Kc2 Ra2+ 61. Kc3 Ra3+ 62. Kc2 Ra2+ 63. Kc3 Ra3+ 64. Kd2 Ra2+ 65. Kc3 Ra3+ 66. Kd4 Ra4 67. Rh2 Rxb4+ 68. Bxb4 Kd7 69. Re2 Kc6 70. Rc2+ Kd7 71. Ke4 Ke6 72. Rf2 Kd7 73. Kd5 Kc7 74. Ke6 Kc6 75. Rf1 Kc7 76. Rf8 Kc6 77. Rf2 Kc7 78. d4 Kc6 79. d5+ Kc7 80. Bd6+ Kc8 81. Bb4 Kc7 82. Ra2 Kc8 83. Bd6 Kd8 84. Rf2 Ke8 85. Rf8#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,7,82,False,False,False,0,7,85,82,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),85,1209.4845600128174,85,7,1831.9324297142828
1766463551-8644,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 Nc6 2. Nf3 e5 3. Bc4 d6 4. d3 Na5 5. Bb3 c6 6. Ng5 Nxb3 7. axb3 Be7 8. Nf3 f5 9. exf5 h6 10. O-O Bxf5 11. Nc3 Qd7 12. Be3 Nf6 13. Rxa7 Rxa7 14. Bxa7 c5 15. Bb6 Qc6 16. Ba5 b6 17. Bxb6 Qxb6 18. Na4 Qc7 19. c4 Bg4 20. h3 Be6 21. Nh4 O-O 22. Ng6 Rb8 23. Nxe7+ Kf7 24. Nd5 Bxd5 25. cxd5 Qe7 26. Nc3 Rb6 27. Qf3 Rxb3 28. Ne4 Kg8 29. Nxf6+ Qxf6 30. Qxf6 gxf6 31. Rb1 Rxd3 32. b4 c4 33. b5 c3 34. b6 c2 35. Rc1 Rd1+ 36. Rxd1 cxd1=R+ 37. Kh2 Rb1 38. b7 Kf7 39. b8=Q Rxb8 40. g4 Rb1 41. Kg3 Kg6 42. f3 Rb2 43. h4 h5 44. gxh5+ Kf5 45. h6 Rb8 46. h7 Rh8 47. h5 Rxh7 48. Kh4 Rd7 49. h6 Rh7 50. Kh5 Rf7 51. Kh4 Re7 52. Kh5 Rc7 53. Kh4 Re7 54. Kh5 Rf7 55. Kh4 Kg6 56. Kg4 Rc7 57. Kh4 f5 58. Kg3 Rf7 59. Kh4 Kxh6 60. Kg3 Kg6 61. Kh4 Rf8 62. Kg3 Ra8 63. Kh4 Rh8+ 64. Kg3 Rh5 65. Kf2 Rh3 66. Ke3 e4 67. Kf2 exf3 68. Ke3 Kg5 69. Kf2 Kh4 70. Ke3 Kg3 71. Kd4 f2 72. Ke3 Rh1 73. Kd4 Rc1 74. Ke3 Rd1 75. Ke2 f1=R 76. Ke3 Rfe1#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,76,False,False,False,0,0,76,76,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,77,873.4137387275696,76,0,1822.0029962242697
1766463774-5827,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. Nc3 e5 2. e4 Nf6 3. Nf3 Nc6 4. d4 exd4 5. Nd5 Be7 6. Bc4 O-O 7. O-O Nxe4 8. Re1 Nd6 9. Bd3 Bf6 10. Nxf6+ Qxf6 11. Bg5 Qxg5 12. Nxg5 h6 13. Ne4 Nxe4 14. Rxe4 d5 15. Re1 Be6 16. h3 Rae8 17. Qd2 Ne7 18. g4 c5 19. Kh1 c4 20. Be2 Ng6 21. Bf1 Nh4 22. Bg2 Nxg2 23. Kxg2 f5 24. Kh2 fxg4 25. Qxd4 gxh3 26. Re5 Rf6 27. Rg1 Ref8 28. Rxe6 Rxf2+ 29. Kh1 R2f7 30. Reg6 Kh8 31. Rxg7 Rxg7 32. Qxg7#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,32,False,False,False,0,0,32,32,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),32,223.2479681968689,32,0,1812.6105578844608
1766464398-1002,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7 4. d4 Bd6 5. d5 Nce7 6. Nc3 Nf6 7. Bg5 Ng6 8. O-O h6 9. Bxf6 Qxf6 10. Nb5 a6 11. Nxd6+ Qxd6 12. c3 O-O 13. b4 Qe7 14. a4 d6 15. b5 axb5 16. Bxb5 h5 17. c4 f5 18. exf5 Bxf5 19. Qd2 Qf6 20. Ng5 Rad8 21. Ne6 Bxe6 22. dxe6 c6 23. Bxc6 bxc6 24. a5 Qxe6 25. a6 Nf4 26. a7 Qf6 27. g3 Qg6 28. Kh1 Nd3 29. a8=Q Rxa8 30. Rxa8 Rxa8 31. Qe3 Kh7 32. f4 Rf8 33. f5 Rxf5 34. Rxf5 Qxf5 35. Kg2 e4 36. h3 c5 37. g4 hxg4 38. hxg4 Qxg4+ 39. Qg3 Qxg3+ 40. Kxg3 Kh6 41. Kg4 Kg6 42. Kg3 Kf6 43. Kg4 Kg6 44. Kg3 Kf6 45. Kg4 g5 46. Kg3 Kf5 47. Kg2 Kf4 48. Kf1 Kf3 49. Kg1 Kg4 50. Kf1 Kf3 51. Kg1 Kg4 52. Kf1 Kf3 53. Kg1 Nb2 54. Kf1 Nd3 55. Kg1 d5 56. Kf1 d4 57. Kg1 Nf4 58. Kf1 Ng2 59. Kg1 Ne1 60. Kf1 Nd3 61. Kg1 e3 62. Kf1 e2+ 63. Kg1 Nc1 64. Kh2 e1=Q 65. Kh3 Qh4#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,65,False,False,False,0,0,65,65,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,66,624.118198633194,65,0,1803.6999999999998
1766464469-2629,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e3 e5 2. d4 exd4 3. Ne2 dxe3 4. Qd4 exf2+ 5. Kxf2 Nc6 6. Qe3+ Be7 7. Nf4 Nf6 8. h3 O-O 9. Kg1 Re8 10. a3 Bc5 11. Qxc5 Re1 12. Ne2 Ne4 13. Qe3 Qf6 14. Nd2 Nxd2 15. Qe8#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,15,False,False,False,0,0,15,15,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),15,70.77954363822937,15,0,1795.2242803720246
1766464739-5439,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 c5 2. Nf3 e6 3. d4 Be7 4. d5 d6 5. c4 Nd7 6. Nc3 a6 7. Bd3 exd5 8. exd5 h6 9. O-O b6 10. Re1 Nf8 11. Bf4 Nf6 12. Qe2 Nh5 13. Bd2 Nd7 14. Ne4 Ndf6 15. Nxf6+ gxf6 16. Nh4 Rg8 17. Qxh5 Bg4 18. Qxh6 Rc8 19. Nf5 Rg6 20. Qh8+ Kd7 21. Qxd8+ Bxd8 22. Ng3 Kc7 23. Bxg6 fxg6 24. Bf4 Bd7 25. Ne4 Be7 26. Nxd6 g5 27. Nxc8+ Kd8 28. Nxe7 Bh3 29. gxh3 gxf4 30. Nf5 b5 31. Re7 b4 32. Rae1 a5 33. Re8+ Kc7 34. R1e7+ Kb6 35. Rb8+ Ka6 36. Ra8+ Kb6 37. Re6+ Kc7 38. Ra7+ Kd8 39. Rxf6 Ke8 40. Rh6 Kd8 41. Rh8#",1-0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),1.0,0,41,False,False,False,0,0,41,41,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,41,270.3162522315979,41,0,1865.6607839942972
1766465153-4672,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. e4 e5 2. Nc3 Nc6 3. h3 Nf6 4. Be2 Bc5 5. Nf3 d6 6. a4 a6 7. O-O O-O 8. Rb1 Be6 9. Re1 Nd4 10. d3 Nxe2+ 11. Rxe2 Qd7 12. Bg5 Nh5 13. d4 exd4 14. Nxd4 Bxd4 15. Qxd4 Bxh3 16. gxh3 Qxh3 17. e5 dxe5 18. Rxe5 f6 19. Re3 Qf5 20. Bh4 Qxc2 21. Qd5+ Kh8 22. Qxh5 Rad8 23. b3 Rd2 24. Bg3 Rd3 25. Qf3 Rxc3 26. Rxc3 Qxb1+ 27. Kg2 c6 28. Re3 Qg6 29. Rd3 h5 30. Kh3 Qg4+ 31. Qxg4 hxg4+ 32. Kh4 f5 33. Bc7 Rf7 34. Bb6 Kh7 35. Kg5 g6 36. Bc5 Rf8 37. Bxf8 Kg8 38. Rd8 Kf7 39. Ba3 Ke6 40. Kxg6 Ke5 41. Bc5 Kf4 42. Bd6+ Kf3 43. Bc5 f4 44. Kf5 g3 45. fxg3 fxg3 46. a5 g2 47. Rd1 Ke2 48. Rg1 Kf3 49. Re1 Kg3 50. Bg1 Kf3 51. Re3#",1-0,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,1.0,0.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,3,50,False,False,False,0,3,51,50,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),51,414.09815859794617,51,3,1857.5794295589824
1766465368-4886,"[White ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]
[Black ""Stockfish level 5""]

1. e4 c5 2. Nf3 e6 3. d4 Be7 4. d5 exd5 5. exd5 Qb6 6. c4 Bf6 7. Nc3 h6 8. Bd3 Kf8 9. O-O d6 10. Re1 Bg4 11. h3 Bxf3 12. Qxf3 Be5 13. Ne4 a6 14. Rb1 Nd7 15. b3 Ngf6 16. Nxf6 Nxf6 17. Bb2 Bxb2 18. Rxb2 Re8 19. Rbe2 Qc7 20. Rxe8+ Nxe8 21. Qe4 Qd8 22. Qf5 a5 23. a4 Nf6 24. g4 Nd7 25. Qe4 Nf6 26. Qf5 Rg8 27. f4 g6 28. Qxf6 Qxf6 29. Re8+ Kxe8 30. Bxg6 fxg6 31. g5 Qa1+ 32. Kg2 Qb2+ 33. Kg3 h5 34. Kh4 Qf2#",0-1,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),Stockfish level 5,,2.0,0.0,1.0,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.0,0,34,False,False,False,0,0,34,34,False,False,False,False,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer) vs. Stockfish level 5,35,214.4357192516327,34,0,1849.8573674808276
1766465872-9638,"[White ""Stockfish level 5""]
[Black ""ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer)""]

1. Nc3 d5 2. d4 Nf6 3. Bg5 e6 4. Bxf6 Qxf6 5. Nf3 Bb4 6. g3 Bxc3+ 7. bxc3 O-O 8. Qd2 Nc6 9. Bg2 e5 10. dxe5 Nxe5 11. Qxd5 Nxf3+ 12. Qxf3 Qxf3 13. Bxf3 c6 14. Be4 Be6 15. Bd3 Rad8 16. f3 Rfe8 17. a4 Bd5 18. Kf2 Re7 19. c4 Be6 20. Rhb1 Rde8 21. g4 Bc8 22. h4 h6 23. e4 g6 24. a5 f5 25. gxf5 gxf5 26. h5 fxe4 27. Bxe4 Rf7 28. Bg6 Ref8 29. Bxf7+ Rxf7 30. Rg1+ Kh7 31. c5 Bf5 32. c3 Bd3 33. c4 Bxc4 34. Rae1 Bd5 35. Ke3 Rxf3+ 36. Kd4 Rf4+ 37. Ke5 Rf7 38. Kd6 Rg7 39. Rxg7+ Kxg7 40. Kc7 Kf6 41. Rc1 Kg5 42. Rg1+ Kxh5 43. Kxb7 Kh4 44. a6 h5 45. Kxa7 Kh3 46. Kb6 h4 47. a7 Kh2 48. Ra1 h3 49. Ra4 Kg2 50. Rh4 h2 51. Rh6 h1=Q 52. Rxh1 Kxh1 53. Kc7 Kg2 54. Kb6 Kf3 55. a8=Q Ke4 56. Qa4+ Ke5 57. Qxc6 Bxc6 58. Ka6 Kd5 59. Ka7 Kxc5",1/2-1/2,Stockfish level 5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),2.0,,0.5,0.5,ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),0.5,0,59,False,False,False,0,0,59,59,False,False,False,False,Stockfish level 5 vs. ChessGPT (lichess_200k_bins_16layers_ckpt_with_optimizer),60,503.92259335517883,59,0,1872.9000728314156
